Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9133157,Preface to the Letter of St. Paul to the Romans,Martin Luther,"Luther, Martin",,"=""""","=""""",1,4.19,,Kindle Edition,14,,2010,2023/11/14,2023/11/09,,,read,,,,1,0
36121358,The Science of Meditation: The expert guide to the neuroscience of mindfulness and how to harness it,Daniel Goleman,"Goleman, Daniel",Richard J. Davidson,"=""""","=""""",0,3.91,Penguin,Kindle Edition,309,2017,2017,,2023/11/13,to-read,to-read (#21),to-read,,,,0,0
179761,"The Royal Commentaries of the Incas and General History of Peru, Abridged",Inca Garcilaso de la Vega,"Vega, Inca Garcilaso de la","Karen Spalding, Harold V. Livermore","=""0872208435""","=""9780872208438""",3,3.66,Hackett Pub Co,Paperback,264,2006,2006,2023/11/09,2023/11/03,,,read,,,,1,0
250188,"Poems, Protest, and a Dream: Selected Writings (Penguin Classics)",Juana Inés de la Cruz,"Cruz, Juana Inés de la","Margaret Sayers Peden, Ilan Stavans","=""0140447032""","=""9780140447033""",4,4.08,Penguin Classics,Paperback,304,1997,1997,2023/11/09,2023/11/03,,,read,precocious girl v overZEALous Bishop part XXVII,,,1,0
302984,"Father Arseny, 1893-1973: Priest, Prisoner, Spiritual Father: Being the Narratives Compiled by the Servant of God Alexander Concerning His Spiritual Father",Vera Bouteneff,"Bouteneff, Vera",,"=""0881411809""","=""9780881411805""",2,4.63,"St Vladimir's Seminary Press,U.S.",Paperback,277,1998,1998,2023/11/09,2023/11/03,,,read,,,,1,0
1153435,The Book of the Body Politic,Christine de Pizan,"Pizan, Christine de",Kate Langdon Forhan,"=""0521422590""","=""9780521422598""",0,3.21,Cambridge University Press,Paperback,162,1994,1405,2023/11/01,2023/10/25,,,read,,,,1,0
833834,The Broken Spears: The Aztec Account of the Conquest of Mexico,Miguel León-Portilla,"León-Portilla, Miguel","J. Jorge Klor De Alva, Lysander Kemp","=""0807055018""","=""9780807055014""",4,4.06,Beacon Pr,Paperback,248,1992,1959,,2023/11/01,,,read,haha my last name is spear. ,,,1,0
11428914,"Letter in Spanish of Christopher Columbus, Written on His Return from His First Voyage and Addressed to Luis de Sant Angel, 15 Feb.-14 March, 1493",Christopher Columbus,"Columbus, Christopher",,"=""124133398X""","=""9781241333980""",0,3.00,"British Library, Historical Print Editions",Paperback,72,2011,2013,,2023/11/01,,,read,,,,1,0
100698795,The Mysteries,Bill Watterson,"Watterson, Bill",John Kascht,"=""1524884944""","=""9781524884949""",0,3.76,Andrews McMeel Publishing,Hardcover,72,2023,2023,,2023/11/01,to-read,to-read (#20),to-read,,,,0,0
23398722,Anxious: Using the Brain to Understand and Treat Fear and Anxiety,Joseph E. LeDoux,"LeDoux, Joseph E.",Jonathan Davis,"=""0670015334""","=""9780670015337""",0,3.65,Viking Pr,Hardcover,466,2015,2015,,2023/11/01,to-read,to-read (#19),to-read,,,,0,0
18720319,Epiphenomenal Qualia,Frank Jackson,"Jackson, Frank",,"=""""","=""""",3,3.83,,Unknown Binding,,,1982,,2023/10/26,,,read,Native American x philosophy/consciousness ,,,1,0
111410,The Essential Kabbalah: The Heart of Jewish Mysticism,Daniel C. Matt,"Matt, Daniel C.",,"=""0062511637""","=""9780062511638""",3,3.96,HarperCollins,Paperback,221,1996,1995,2023/10/25,2023/10/20,,,read,,,,1,0
7743741,Ibn Tufayl's Hayy Ibn Yaqzan,Ibn Tufail,"Tufail, Ibn",Lenn E. Goodman,"=""0226303101""","=""9780226303109""",3,3.83,University of Chicago Press,Paperback,280,2009,1150,2023/10/25,2023/10/20,,,read,,,,1,0
